company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal
Novo Nordisk,UBS,2016-02-08 10:39:32,Sell,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Novo Nordisk,Goldman Sachs,2016-02-15 13:02:36,Buy,,main,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2016-08-08 11:18:01,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,HSBC,2016-08-31 10:31:19,Hold,Reduce,up,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,JP Morgan,2016-09-09 10:25:55,Neutral,Outperform,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Deutsche Bank,2016-09-12 10:01:07,Buy,Hold,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Exane BNP Paribas,2016-09-14 08:54:27,Outperform,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,Piper Sandler,2016-09-23 10:46:04,Neutral,,init,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,B of A Securities,2016-10-28 04:00:00,Underperform,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1
Novo Nordisk,Citigroup,2016-10-31 04:00:00,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,UBS,2016-12-06 16:42:12,Buy,Sell,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2017-09-06 10:47:15,Neutral,Underperform,up,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,Morgan Stanley,2017-12-01 11:15:06,Overweight,Equal-Weight,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,B of A Securities,2017-12-06 14:50:05,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
Novo Nordisk,JP Morgan,2017-12-29 11:38:36,Neutral,Underweight,up,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,B of A Securities,2018-10-08 10:57:36,Neutral,Buy,down,0.0,0.0,NOVO-B.CO,yahoo,0
Novo Nordisk,JP Morgan,2018-11-19 11:25:33,Overweight,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1
