company,source,date,to_grade,from_grade,action,price_target,prior_target,price_ticker,origin,signal,fwd_return,actual_up,is_directional,correct
Novo Nordisk,Deutsche Bank,2021-01-15 12:37:14,Buy,,init,0.0,0.0,NOVO-B.CO,yahoo,1,0.4387295323748779,True,True,1.0
Genmab,HC Wainwright & Co.,2021-01-15 14:24:02,Buy,,main,49.0,44.0,GMAB.CO,yahoo,1,-0.1470040937848902,False,True,0.0
Genmab,Morgan Stanley,2021-01-19 12:00:47,Equal-Weight,Overweight,down,41.0,0.0,GMAB.CO,yahoo,0,-0.15387453874538748,False,False,
Genmab,SVB Leerink,2021-01-26 14:09:32,Market Perform,,main,38.0,34.0,GMAB.CO,yahoo,0,-0.15346153846153843,False,False,
Genmab,SVB Leerink,2021-02-24 10:26:18,Market Perform,,main,36.0,38.0,GMAB.CO,yahoo,0,-0.022325581395348792,False,False,
Vestas,UBS,2021-02-25 10:53:43,Buy,Neutral,up,0.0,0.0,VWS.CO,yahoo,1,-0.19631748895569145,False,True,0.0
Genmab,Truist Securities,2021-02-25 15:27:58,Buy,Buy,main,47.0,42.0,GMAB.CO,yahoo,1,0.039674952198852864,True,True,1.0
Vestas,Bernstein,2021-03-25 10:10:42,Outperform,,init,0.0,0.0,VWS.CO,yahoo,1,-0.15769799985827093,False,True,0.0
Genmab,Morgan Stanley,2021-04-19 14:36:50,Equal-Weight,,main,37.0,41.0,GMAB.CO,yahoo,0,0.19328493647912892,True,False,
Genmab,SVB Leerink,2021-08-12 08:41:29,Market Perform,,main,42.0,37.0,GMAB.CO,yahoo,0,-0.10217983651226159,False,False,
Genmab,Truist Securities,2021-08-12 13:39:55,Buy,Buy,main,50.0,47.0,GMAB.CO,yahoo,1,-0.10217983651226159,False,True,0.0
Genmab,HC Wainwright & Co.,2021-08-24 11:07:47,Neutral,Buy,down,0.0,0.0,GMAB.CO,yahoo,0,-0.09015025041736224,False,False,
Genmab,Morgan Stanley,2021-09-07 10:08:51,Underweight,Equal-Weight,down,37.0,0.0,GMAB.CO,yahoo,-1,-0.09817813765182182,False,True,1.0
Genmab,Jefferies,2021-09-16 12:10:27,Hold,Buy,down,0.0,0.0,GMAB.CO,yahoo,0,0.007513148009015813,True,False,
Genmab,Berenberg,2021-12-01 11:14:29,Sell,,init,0.0,0.0,GMAB.CO,yahoo,-1,0.2886194759483771,True,True,0.0
Novo Nordisk,JP Morgan,2021-12-20 13:40:27,Neutral,Overweight,down,0.0,0.0,NOVO-B.CO,yahoo,0,0.3905074719134709,True,False,
Genmab,Guggenheim,2022-01-03 15:04:17,Neutral,Buy,down,0.0,0.0,GMAB.CO,yahoo,0,0.17307692307692313,True,False,
Novo Nordisk,Liberum,2022-01-25 13:28:56,Sell,Hold,down,0.0,0.0,NOVO-B.CO,yahoo,-1,0.5390519213192035,True,True,0.0
Genmab,HC Wainwright & Co.,2022-01-31 11:48:45,Buy,Neutral,up,47.0,0.0,GMAB.CO,yahoo,1,0.1976692066337966,True,True,1.0
Genmab,SVB Leerink,2022-02-17 09:51:19,Market Perform,,main,39.0,42.0,GMAB.CO,yahoo,0,0.2777005099675476,True,False,
Novo Nordisk,Deutsche Bank,2022-03-16 10:19:28,Buy,Hold,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.3898875833579871,True,True,1.0
Genmab,Morgan Stanley,2022-04-12 13:45:17,Underweight,,main,30.0,33.0,GMAB.CO,yahoo,-1,0.05063291139240511,True,True,0.0
Genmab,Cowen & Co.,2022-05-02 12:40:14,Market Perform,,init,38.0,0.0,GMAB.CO,yahoo,0,0.13167549938850387,True,False,
Genmab,SVB Leerink,2022-05-12 08:41:01,Market Perform,,main,30.0,39.0,GMAB.CO,yahoo,0,0.4112149532710281,True,False,
Genmab,Morgan Stanley,2022-05-17 11:52:37,Underweight,,main,29.0,30.0,GMAB.CO,yahoo,-1,0.3438095238095238,True,True,0.0
Novo Nordisk,Guggenheim,2022-05-31 12:08:40,Buy,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.47341098038717044,True,True,1.0
Novo Nordisk,JP Morgan,2022-06-07 09:00:28,Overweight,Neutral,up,0.0,0.0,NOVO-B.CO,yahoo,1,0.38050652952714836,True,True,1.0
Genmab,BMO Capital,2022-06-24 09:05:26,Market Perform,,init,34.73,0.0,GMAB.CO,yahoo,0,0.17293906810035842,True,False,
Novo Nordisk,UBS,2022-06-28 10:13:49,Sell,Neutral,down,0.0,0.0,NOVO-B.CO,yahoo,-1,0.3943831014828245,True,True,0.0
Genmab,HC Wainwright & Co.,2022-07-20 10:12:27,Buy,,main,49.0,47.0,GMAB.CO,yahoo,1,0.07827102803738328,True,True,1.0
Genmab,SVB Leerink,2022-08-11 09:25:33,Market Perform,,main,31.0,30.0,GMAB.CO,yahoo,0,-0.06355620867009548,False,False,
Genmab,Morgan Stanley,2022-08-15 12:14:49,Underweight,,main,31.0,29.0,GMAB.CO,yahoo,-1,-0.059435364041604766,False,True,1.0
